year,Base case diesel consumed,Modeled solar power (pv)
2016,68835.227881,67844.4249263
2017,68914.4398809,67931.5633498
2018,68993.6518808,68018.6383619
2019,69072.8638806,68105.6504699
2020,69072.8638806,68113.3881772
2021,69152.0758805,68200.2759827
2022,69231.2878804,68287.1023817
2023,69310.4998802,68373.8678656
2024,69389.7118801,68460.5729216
2025,69389.7118801,68468.0060332
2026,69468.9238799,68554.5916799
2027,69548.1358798,68641.1183374
2028,69627.3478797,68727.5864776
2029,69627.3478797,68734.7845688
2030,69706.5598795,68821.1370751
2031,69785.7718794,68907.4324574
2032,69864.9838793,68993.6711727
2033,69864.9838793,69000.6416743
2034,69944.1958791,69086.7684118
2035,69944.1958791,69093.6278316
