year,Base case cost,"Teller wind-final design, permitting & construction",Modeled wind power
2019,204455.677087,,
2020,216888.792585,,
2021,225435.76737,,
2022,231924.814399,,
2023,237041.90959,,
2024,240782.300224,,
2025,244945.682937,,
2026,250782.815207,,
2027,255241.658679,,
2028,259013.734112,,
2029,263887.648464,,
2030,267673.189937,,
2031,273560.225767,,
2032,278761.285678,,
2033,284350.484389,,
2034,290268.412898,,
2035,294465.064651,,
2036,300400.419801,,
2037,304245.370274,,
2038,309853.579865,,
