year,Base case cost,Modeled biomass for heat (cordwood)
2017,660737.615812,868951.823919
2018,722626.745812,914713.524563
2019,807437.775812,977424.003224
2020,850989.385812,1009626.68146
2021,878495.665812,1029965.21507
2022,901417.565812,1046913.99309
2023,915170.705812,1057083.2599
2024,928923.845812,1067252.52671
2025,942676.985812,1077421.79352
2026,961014.505812,1090980.81593
2027,977059.835812,1102844.96055
2028,990812.975812,1113014.22735
2029,1006858.30581,1124878.37197
2030,1018319.25581,1133352.76097
2031,1036656.77581,1146911.78339
2032,,
2033,,
2034,,
2035,,
2036,,
