year,Base case cost,Modeled non-residential energy efficiency
2017,1748315.13758,1646330.96449
2018,1844293.05005,1733445.82493
2019,1975818.33751,1852825.44849
2020,2043358.35,1914128.49843
2021,2086015.19998,1952846.21419
2022,2121562.57497,1985110.97731
2023,2142890.99997,2004469.83519
2024,2164219.42496,2023828.69307
2025,2185547.84996,2043187.55094
2026,2213985.74995,2068999.36144
2027,2238868.91244,2091584.69563
2028,2260197.33743,2110943.55351
2029,2285080.49993,2133528.8877
2030,2302854.18742,2149661.26926
2031,2331292.08741,2175473.07976
