year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,3251552.0,2847762.14204
2018,3242040.0,2838250.14204
2019,3244752.0,2840962.14204
2020,3236602.0,2832812.14204
2021,3235241.0,2831451.14204
2022,3229800.0,2826010.14204
2023,3217572.0,2813782.14204
2024,3206695.0,2802905.14204
2025,3199901.0,2796111.14204
2026,3184954.0,2781164.14204
2027,3174074.0,2770284.14204
2028,3161844.0,2758054.14204
2029,3164567.0,2760777.14204
2030,3163207.0,2759417.14204
2031,3156407.0,2752617.14204
2032,3136022.0,2732232.14204
2033,3111559.0,2707769.14204
2034,3083017.0,2679227.14204
2035,3053112.0,2649322.14204
2036,3034086.0,2630296.14204
