year,Base case cost,Modeled non-residential energy efficiency
2017,14919890.36,14112249.7028
2018,15462232.7226,14617245.1278
2019,16206016.5341,15324557.3207
2020,16577908.4398,15660832.4112
2021,16825836.377,15873978.3024
2022,17011782.3299,16025957.4135
2023,17151241.7945,16132246.1342
2024,17259710.2671,16208321.3019
2025,17383674.2356,16300651.1839
2026,17554124.6924,16440208.9781
2027,17693584.1571,16549499.8268
2028,17802052.6296,16628506.7604
2029,17957007.5903,16754690.6869
2030,18034485.0707,16804071.4543
2031,18204935.5275,16947083.7148
