year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,122555000.0,32361000.0,90194000.0
2004,,128512000.0,32286000.0,96226000.0
2005,,130858000.0,31551000.0,99307000.0
2006,,136328000.0,32454000.0,103874000.0
2007,,138141000.0,32750000.0,105391000.0
2008,,136272000.0,32883000.0,103389000.0
2009,,134614000.0,33385000.0,101229000.0
2010,,139085000.0,33653000.0,105432000.0
2011,,141970000.0,34125000.0,107845000.0
2012,,144595000.0,35273000.0,109322000.0
2013,,143174000.0,34387000.0,108787000.0
2014,,147047000.0,34366000.0,112681000.0
2015,start of forecast,143560886.0,33297553.0,110263333.0
2016,,143532344.0,33269011.0,110263333.0
2017,,143513884.0,33250551.0,110263333.0
2018,,143483843.0,33220510.0,110263333.0
2019,,143489462.0,33226129.0,110263333.0
2020,,143465651.0,33202318.0,110263333.0
2021,,143460190.0,33196857.0,110263333.0
2022,,143439590.0,33176257.0,110263333.0
2023,,143401771.0,33138438.0,110263333.0
2024,,143364104.0,33100770.0,110263333.0
2025,,143342481.0,33079148.0,110263333.0
2026,,143295593.0,33032260.0,110263333.0
2027,,143256052.0,32992719.0,110263333.0
2028,,143216830.0,32953496.0,110263333.0
2029,,143228287.0,32964954.0,110263333.0
2030,,143223530.0,32960197.0,110263333.0
2031,,143199245.0,32935911.0,110263333.0
2032,,143133250.0,32869916.0,110263333.0
2033,,143053705.0,32790371.0,110263333.0
2034,,142959851.0,32696517.0,110263333.0
2035,,142859555.0,32596222.0,110263333.0
2036,,142798099.0,32534766.0,110263333.0
2037,,142744834.0,32481501.0,110263333.0
2038,,142670774.0,32407440.0,110263333.0
2039,,142570624.0,32307291.0,110263333.0
2040,,142478414.0,32215081.0,110263333.0
