year,Base case cost,Modeled water and wastewater efficiency
2017,110864.511614,89133.1740836
2018,117301.757404,93393.8746844
2019,126243.548424,99410.8187748
2020,130363.417343,102062.945886
2021,133233.702106,103847.024839
2022,135386.390674,105134.673886
2023,136822.63996,105926.609439
2024,138080.542864,106598.866311
2025,139700.015029,107528.797299
2026,141497.757027,108588.060248
2027,142950.808245,109411.322924
2028,144227.265733,110115.720727
2029,145853.029661,111068.492046
2030,146946.017637,111653.262932
2031,148753.23619,112741.442834
