year,Base case cost,"Kaltag (kaltag river s tributary) -- kaltag river, south tributary","Kaltag (north tributary kaltag river) -- kaltag river, north tributary"
2021,225108.435623,1013462.20349,1081081.72977
2022,231698.111386,1000587.59932,1067521.68264
2023,235882.275926,986449.744785,1052597.46381
2024,239543.419898,972368.188944,1037722.41403
2025,244250.605005,959349.274052,1023996.68094
2026,249480.81068,947045.431044,1011040.68009
2027,254017.673694,934784.937264,998087.769459
2028,257683.90816,922197.399948,984798.483757
2029,262761.972075,911003.395084,972987.255955
2030,265908.82204,898774.102905,960067.467195
2031,271153.571982,888239.191222,948988.500419
2032,277306.765566,878754.830979,939011.667997
2033,282558.787641,868872.729389,928625.288413
2034,288735.252052,860042.048204,919340.979875
2035,292416.757998,849758.529173,908496.741665
2036,298201.981628,841137.811354,899459.441808
2037,301883.487574,831441.405778,889238.494119
2038,308094.131013,823819.460635,881235.296096
2039,312307.384086,815030.228659,871987.481675
2040,318627.263697,807879.823183,864520.974368
2041,318627.263697,796887.223028,852851.026385
2042,318627.263697,786152.261932,841454.5928
2043,318627.263697,775668.901531,830325.263174
2044,318627.263697,765431.24485,819456.77717
2045,318627.263697,755433.533287,808843.021347
2046,318627.263697,745670.143075,798478.025413
2047,318627.263697,736135.582345,788355.959097
2048,318627.263697,726824.487882,778471.128709
2049,318187.299621,717291.658034,768378.009866
2050,318187.299621,708411.906365,758951.10098
2051,318187.299621,699740.273888,749745.135284
2052,318187.299621,691271.882792,740754.934403
2053,318187.299621,683001.969643,731975.441389
2054,318187.299621,674925.882515,723401.717668
2055,318187.299621,667039.078705,715028.940626
2056,318187.299621,659337.121866,706852.400552
2057,318187.299621,651815.679651,698867.498147
2058,318187.299621,644470.521207,691069.741861
2059,318187.299621,637297.514973,683454.745549
2060,318187.299621,630292.626026,676018.225664
2061,318187.299621,623451.914168,668755.999218
2062,318187.299621,616771.531497,661663.981207
2063,318187.299621,610247.720274,654738.182348
2064,318187.299621,603876.810937,647974.706962
2065,318187.299621,597655.21974,641369.75048
2066,318187.299621,591579.447066,634919.597644
2067,318187.299621,585646.075363,628620.620318
2068,318187.299621,579851.767012,622469.275222
2069,318187.299621,574193.262779,616462.102293
2070,318187.299621,568667.379754,610595.722496
