year,Base case diesel consumed,Modeled diesel efficiency
2019,52229.3354113,47481.2140103
2020,52229.3354113,47481.2140103
2021,52229.3354113,47481.2140103
2022,52302.0567463,47547.3243148
2023,52302.0567463,47547.3243148
2024,52302.0567463,47547.3243148
2025,52302.0567463,47547.3243148
2026,52302.0567463,47547.3243148
2027,52374.7780812,47613.4346193
2028,52374.7780812,47613.4346193
2029,52447.4994162,47679.5449238
2030,52447.4994162,47679.5449238
2031,52447.4994162,47679.5449238
2032,52520.2207511,47745.6552283
2033,52520.2207511,47745.6552283
2034,52592.942086,47811.7655328
2035,52592.942086,47811.7655328
2036,52592.942086,47811.7655328
2037,52592.942086,47811.7655328
2038,52665.663421,47877.8758373
