year,Base case diesel consumed,"Kaltag (kaltag river s tributary) -- kaltag river, south tributary","Kaltag (north tributary kaltag river) -- kaltag river, north tributary"
2021,52229.3354113,31775.7980021,35263.48433
2022,52302.0567463,31848.5193371,35336.205665
2023,52302.0567463,31848.5193371,35336.205665
2024,52302.0567463,31848.5193371,35336.205665
2025,52302.0567463,31848.5193371,35336.205665
2026,52302.0567463,31848.5193371,35336.205665
2027,52374.7780812,31921.240672,35408.9269999
2028,52374.7780812,31921.240672,35408.9269999
2029,52447.4994162,31993.9620069,35481.6483349
2030,52447.4994162,31993.9620069,35481.6483349
2031,52447.4994162,31993.9620069,35481.6483349
2032,52520.2207511,32066.6833419,35554.3696698
2033,52520.2207511,32066.6833419,35554.3696698
2034,52592.942086,32139.4046768,35627.0910047
2035,52592.942086,32139.4046768,35627.0910047
2036,52592.942086,32139.4046768,35627.0910047
2037,52592.942086,32139.4046768,35627.0910047
2038,52665.663421,32212.1260118,35699.8123397
2039,52665.663421,32212.1260118,35699.8123397
2040,52665.663421,32212.1260118,35699.8123397
2041,52665.663421,32212.1260118,35699.8123397
2042,52665.663421,32212.1260118,35699.8123397
2043,52665.663421,32212.1260118,35699.8123397
2044,52665.663421,32212.1260118,35699.8123397
2045,52665.663421,32212.1260118,35699.8123397
2046,52665.663421,32212.1260118,35699.8123397
2047,52665.663421,32212.1260118,35699.8123397
2048,52665.663421,32212.1260118,35699.8123397
2049,52592.942086,32139.4046768,35627.0910047
2050,52592.942086,32139.4046768,35627.0910047
2051,52592.942086,32139.4046768,35627.0910047
2052,52592.942086,32139.4046768,35627.0910047
2053,52592.942086,32139.4046768,35627.0910047
2054,52592.942086,32139.4046768,35627.0910047
2055,52592.942086,32139.4046768,35627.0910047
2056,52592.942086,32139.4046768,35627.0910047
2057,52592.942086,32139.4046768,35627.0910047
2058,52592.942086,32139.4046768,35627.0910047
2059,52592.942086,32139.4046768,35627.0910047
2060,52592.942086,32139.4046768,35627.0910047
2061,52592.942086,32139.4046768,35627.0910047
2062,52592.942086,32139.4046768,35627.0910047
2063,52592.942086,32139.4046768,35627.0910047
2064,52592.942086,32139.4046768,35627.0910047
2065,52592.942086,32139.4046768,35627.0910047
2066,52592.942086,32139.4046768,35627.0910047
2067,52592.942086,32139.4046768,35627.0910047
2068,52592.942086,32139.4046768,35627.0910047
2069,52592.942086,32139.4046768,35627.0910047
2070,52592.942086,32139.4046768,35627.0910047
