year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation solar [kWh/year],generation diesel [kWh/year]
2003,,2454.21,669848.0,0.0,669848.0
2004,,2454.21,664639.0,0.0,664639.0
2005,,2454.21,713658.0,0.0,713658.0
2006,,2454.21,732625.0,0.0,732625.0
2007,,2454.21,744494.0,0.0,744494.0
2008,,2454.21,754883.0,0.0,754883.0
2009,,2454.21,745913.0,0.0,745913.0
2010,,2454.21,780130.0,0.0,780130.0
2011,,2454.21,745495.0,0.0,745495.0
2012,,2454.21,773592.0,374.0,773218.0
2013,,2454.21,735585.0,8880.0,726705.0
2014,,2454.21,708712.0,8649.0,700063.0
2015,,2454.21,640414.0,8173.0,632241.0
2016,start of forecast,2454.21,726000.0,8788.0,717212.0
2017,,2454.21,727000.0,8788.0,718212.0
2018,,2454.21,727000.0,8788.0,718212.0
2019,,2454.21,727000.0,8788.0,718212.0
2020,,2454.21,727000.0,8788.0,718212.0
2021,,2454.21,727000.0,8788.0,718212.0
2022,,2454.21,728000.0,8788.0,719212.0
2023,,2454.21,728000.0,8788.0,719212.0
2024,,2454.21,728000.0,8788.0,719212.0
2025,,2454.21,728000.0,8788.0,719212.0
2026,,2454.21,728000.0,8788.0,719212.0
2027,,2454.21,729000.0,8788.0,720212.0
2028,,2454.21,729000.0,8788.0,720212.0
2029,,2454.21,730000.0,8788.0,721212.0
2030,,2454.21,730000.0,8788.0,721212.0
2031,,2454.21,730000.0,8788.0,721212.0
2032,,2454.21,731000.0,8788.0,722212.0
2033,,2454.21,731000.0,8788.0,722212.0
2034,,2454.21,732000.0,8788.0,723212.0
2035,,2454.21,732000.0,8788.0,723212.0
2036,,2454.21,732000.0,8788.0,723212.0
2037,,2454.21,732000.0,8788.0,723212.0
2038,,2454.21,733000.0,8788.0,724212.0
2039,,2454.21,733000.0,8788.0,724212.0
2040,,2454.21,733000.0,8788.0,724212.0
