year,Base case cost,Modeled biomass for heat (cordwood)
2017,290696.615474,319167.688811
2018,313393.535474,334849.910274
2019,344917.035474,357084.415362
2020,359417.845474,366757.285134
2021,369505.365474,373191.497488
2022,377071.005474,377785.011271
2023,382114.765474,380537.263635
2024,386528.055474,382846.240131
2025,392202.285474,386109.939193
2026,398506.985474,389861.658215
2027,403550.745474,392702.350083
2028,407964.035474,395097.693283
2029,413638.265474,398445.734824
2030,417421.085474,400415.105942
2031,423725.785474,404268.589874
2032,,
2033,,
2034,,
2035,,
2036,,
