year,Base case diesel consumed,Modeled solar power (pv)
2016,52156.6140764,51951.3694275
2017,52229.3354113,52025.7327196
2018,52229.3354113,52027.3615412
2019,52229.3354113,52028.9773321
2020,52229.3354113,52030.5801968
2021,52229.3354113,52032.1702385
2022,52302.0567463,52106.4688948
2023,52302.0567463,52108.0335976
2024,52302.0567463,52109.5857828
2025,52302.0567463,52111.1255505
2026,52302.0567463,52112.6530001
2027,52374.7780812,52186.889565
2028,52374.7780812,52188.3926731
2029,52447.4994162,52262.6050913
2030,52447.4994162,52264.0842459
2031,52447.4994162,52265.5515673
2032,52520.2207511,52339.728485
2033,52520.2207511,52341.1724231
2034,52592.942086,52415.3261447
2035,52592.942086,52416.7470722
