year,Base case cost,Modeled diesel efficiency
2019,204738.994812,377277.847482
2020,216751.741957,383718.413691
2021,225108.435623,386940.297567
2022,231698.111386,388658.34318
2023,235882.275926,388289.698748
2024,239543.419898,387543.372396
2025,244250.605005,387843.49189
2026,249480.81068,388712.345719
2027,254017.673694,389041.963311
2028,257683.90816,388669.04109
2029,262761.972075,389666.456365
2030,265908.82204,388993.043066
2031,271153.571982,390309.644022
2032,277306.765566,392532.993959
2033,282558.787641,394016.092257
2034,288735.252052,396416.736469
2035,292416.757998,396624.57231
2036,298201.981628,398818.448794
2037,301883.487574,399171.700396
2038,308094.131013,401894.329748
