year,Base case diesel consumed,Modeled non-residential ashp
2017,56629.1763527,39640.4234469
2018,56629.1763527,39640.4234469
2019,56629.1763527,39640.4234469
2020,56629.1763527,39640.4234469
2021,56629.1763527,39640.4234469
2022,56629.1763527,39640.4234469
2023,56629.1763527,39640.4234469
2024,56629.1763527,39640.4234469
2025,56629.1763527,39640.4234469
2026,56629.1763527,39640.4234469
2027,56629.1763527,39640.4234469
2028,56629.1763527,39640.4234469
2029,56629.1763527,39640.4234469
2030,56629.1763527,39640.4234469
2031,56629.1763527,39640.4234469
