year,Base case cost,Chignik lake -- unnamed creek 1,Chignik lake (cucumber creek),"Chignik lake (unnamed stream, site #6) -- unnamed creek 2"
2021,95556.7820427,464157.892333,1275523.86218,487295.369073
2022,98306.9813061,463680.86653,1273475.40082,487028.948035
2023,99849.3490684,462876.161517,1271527.83359,486377.410123
2024,100808.223352,462074.731219,1269869.25663,485690.855151
2025,102654.980212,461574.415304,1268226.0785,485343.706337
2026,104760.419181,461039.397402,1266405.3406,484981.001423
2027,106575.083901,460506.989345,1264730.07033,484601.760468
2028,108101.891837,459980.108603,1263203.18514,484208.900939
2029,110552.564448,459790.324342,1261727.68089,484191.429667
2030,112313.742264,460084.581674,1261307.64933,484581.416438
2031,114637.018799,459474.01724,1259268.50713,484162.31088
2032,116940.845551,458844.003023,1257209.91514,483723.755539
2033,118796.354814,457765.671316,1254703.00566,482836.882709
2034,120612.964511,456648.440044,1252157.19662,481911.110314
2035,122039.606067,456021.392922,1250530.14505,481418.084405
2036,124970.688308,455725.250097,1248662.56668,481332.546345
2037,126107.528103,455101.78531,1247181.95523,480823.956884
2038,129027.912964,454794.945106,1245303.67948,480727.721443
2039,130671.419596,454091.378962,1243457.25112,480177.322401
2040,133353.54462,453252.894824,1240904.47365,479568.588914
2041,132861.46512,452760.815323,1240412.39415,479076.509414
2042,132861.46512,452760.815323,1240412.39415,479076.509414
2043,132861.46512,452760.815323,1240412.39415,479076.509414
2044,132861.46512,452760.815323,1240412.39415,479076.509414
2045,132861.46512,452760.815323,1240412.39415,479076.509414
2046,132369.385619,452268.735823,1239920.31465,478584.429913
2047,132369.385619,452268.735823,1239920.31465,478584.429913
2048,132369.385619,452268.735823,1239920.31465,478584.429913
2049,132369.385619,452268.735823,1239920.31465,478584.429913
2050,132369.385619,452268.735823,1239920.31465,478584.429913
