year,Base case cost,Modeled non-residential energy efficiency
2017,2049247.75854,2014090.71804
2018,2149089.58693,2096286.11939
2019,2285609.22171,2211268.36516
2020,2350890.4172,2263212.64986
2021,2394854.0876,2296213.27789
2022,2427691.82366,2320010.74377
2023,2450732.2456,2335034.692
2024,2469932.59721,2346791.41575
2025,2492973.01915,2362062.22219
2026,2519853.51141,2380844.25272
2027,2542893.93335,2396350.48146
2028,2562094.28496,2408578.18233
2029,2588974.77722,2427701.04443
2030,2604335.05852,2436755.88229
2031,2631215.55078,2456092.85976
