year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,412692.51,21427.24,211717.35,141332.25
2018,413948.06,21826.07,211717.35,144806.48
2019,417154.51,22231.33,211717.35,149149.27
2020,420223.62,22641.83,211717.35,153492.05
2021,422785.37,23058.82,211717.35,156966.28
2022,425910.94,23485.08,211717.35,161309.07
2023,428932.49,23922.59,211717.35,165651.85
2024,431963.88,24370.45,211717.35,169994.64
2025,435151.82,24825.5,211717.35,174337.42
2026,438309.17,25286.83,211717.35,178680.21
2027,441537.47,25753.64,211717.35,183022.99
2028,444780.04,26228.23,211717.35,188234.34
2029,448169.25,26717.7,211717.35,192577.12
2030,451635.74,27215.51,211717.35,197788.46
2031,455104.58,27721.44,211717.35,202131.25
2032,458648.84,28232.63,211717.35,207342.59
2033,462193.41,28752.62,211717.35,212553.93
2034,465892.43,29283.36,211717.35,217765.28
2035,469668.19,29825.96,211717.35,222976.62
2036,473444.05,30382.56,211717.35,228187.96
2037,477374.06,30952.42,211717.35,234267.86
2038,481458.13,31533.34,211717.35,239479.2
2039,485465.18,32123.32,211717.35,245559.1
2040,489626.34,32724.0,211717.35,251639.0
