year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,4322458.0,1727128.0,2595330.0
2004,,4477674.0,1813868.0,2663806.0
2005,,4311648.0,1751601.0,2560047.0
2006,,4341944.0,1794002.0,2547942.0
2007,,4515555.0,1844523.0,2671032.0
2008,,4599640.0,1862833.0,2736807.0
2009,,4714676.0,1926266.0,2788410.0
2010,,4781321.0,1864178.0,2917143.0
2011,,4991457.0,1856895.0,3134562.0
2012,,5214462.0,1914839.0,3299623.0
2013,,5773972.0,1917717.0,3856255.0
2014,start of forecast,5403923.0,1973776.0,3430147.0
2015,,5436928.0,2006781.0,3430147.0
2016,,5470122.0,2039975.0,3430147.0
2017,,5503764.0,2073617.0,3430147.0
2018,,5537768.0,2107621.0,3430147.0
2019,,5572319.0,2142172.0,3430147.0
2020,,5607318.0,2177171.0,3430147.0
2021,,5642869.0,2212722.0,3430147.0
2022,,5679211.0,2249064.0,3430147.0
2023,,5716513.0,2286366.0,3430147.0
2024,,5754696.0,2324549.0,3430147.0
2025,,5793492.0,2363346.0,3430147.0
2026,,5832824.0,2402678.0,3430147.0
2027,,5872624.0,2442477.0,3430147.0
2028,,5913086.0,2482939.0,3430147.0
2029,,5954817.0,2524670.0,3430147.0
2030,,5997259.0,2567112.0,3430147.0
2031,,6040394.0,2610247.0,3430147.0
2032,,6083977.0,2653830.0,3430147.0
2033,,6128310.0,2698164.0,3430147.0
2034,,6173560.0,2743413.0,3430147.0
2035,,6219821.0,2789674.0,3430147.0
2036,,6267275.0,2837129.0,3430147.0
2037,,6315860.0,2885713.0,3430147.0
2038,,6365388.0,2935242.0,3430147.0
2039,,6415689.0,2985542.0,3430147.0
2040,,6466901.0,3036755.0,3430147.0
