year,annotation,Average Load
2003,,493.0
2004,,511.0
2005,,492.0
2006,,496.0
2007,,515.0
2008,,525.0
2009,,538.0
2010,,546.0
2011,,570.0
2012,,595.0
2013,,659.0
2014,start of forecast,617.0
2015,,621.0
2016,,624.0
2017,,628.0
2018,,632.0
2019,,636.0
2020,,640.0
2021,,644.0
2022,,648.0
2023,,653.0
2024,,657.0
2025,,661.0
2026,,666.0
2027,,670.0
2028,,675.0
2029,,680.0
2030,,685.0
2031,,690.0
2032,,695.0
2033,,700.0
2034,,705.0
2035,,710.0
2036,,715.0
2037,,721.0
2038,,727.0
2039,,732.0
2040,,738.0
