year,Base case cost,Nushagak community wind power project,Modeled wind power
2019,3148804.18907,3489117.51713,3489117.51713
2020,3322904.14537,3603321.72399,3603321.72399
2021,3459302.59191,3692659.22454,3692659.22454
2022,3544400.51526,3747809.27317,3747809.27317
2023,3616229.29328,3793968.4443,3793968.4443
2024,3660395.41319,3821021.49293,3821021.49293
2025,3717416.3319,3856651.07257,3856651.07257
2026,3785839.82525,3899404.95901,3899404.95901
2027,3852324.33783,3940219.86469,3940219.86469
2028,3892289.33275,3963071.78834,3963071.78834
2029,3961267.96996,4006380.81866,4006380.81866
2030,4002828.66827,4030828.4457,4030828.4457
2031,4082471.69968,4084801.87021,4084801.87021
2032,4157182.80077,4129565.09658,4129565.09658
2033,4221177.21151,4167889.90041,4167889.90041
2034,4298365.00517,4215129.81936,4215129.81936
2035,4339843.90692,4239495.64984,4239495.64984
2036,4419938.83081,4289642.69901,4289642.69901
2037,4474318.79336,4322631.32247,4322631.32247
2038,4550942.72713,4369307.38153,4369307.38153
