year,Base case cost,Dillingham (elva lake),"Dillingham (aleknagik, grant lake)",Nushagak area hydropower project (nahp) -- grant lake
2021,3459302.59191,12444196.2112,11944328.8245,4462348.18953
2022,3544400.51526,12483109.7292,11987217.8014,4497694.3873
2023,3616229.29328,12515351.874,12022867.4824,4526878.82912
2024,3660395.41319,12533126.9051,12042914.2043,4542615.39156
2025,3717416.3319,12557158.9628,12069785.8756,4564099.36344
2026,3785839.82525,12585995.8229,12102030.2719,4589878.52058
2027,3852324.33783,12612893.7022,12132335.6875,4613718.69695
2028,3892289.33275,12626467.6083,12148181.2844,4625254.1344
2029,3961267.96996,12655859.6123,12180980.8247,4651588.43541
2030,4002828.66827,12671029.2218,12198422.125,4664719.57625
2031,4082471.69968,12711085.62,12241886.0594,4701718.27146
2032,4157182.80077,12739612.3157,12274388.214,4726677.64698
2033,4221177.21151,12764020.0932,12302203.5278,4748027.7215
2034,4298365.00517,12795023.4814,12337182.375,4775463.7896
2035,4339843.90692,12810111.2944,12354541.8787,4788513.13388
2036,4419938.83081,12844021.8128,12392427.8562,4818856.33219
2037,4474318.79336,12865412.9144,12416658.5712,4837699.34791
2038,4550942.72713,12895852.4427,12451073.5585,4864571.5561
2039,4596560.40075,12908481.2553,12466541.9846,4874652.28289
2040,4694626.43126,12953765.1082,12516369.2192,4915859.19846
2041,4696163.13386,12955301.8108,12517905.9218,4917395.90105
2042,4691040.79187,12950179.4688,12512783.5798,4912273.55907
2043,4696675.36806,12955814.045,12518418.156,4917908.13525
2044,4706151.70073,12965290.3776,12527894.4887,4927384.46793
2045,4717420.8531,12976559.53,12539163.641,4938653.6203
2046,4739446.92365,12998585.6006,12561189.7116,4960679.69085
2047,4751228.31022,13010366.9871,12572971.0981,4972461.07742
2048,4766083.10198,13025221.7789,12587825.8899,4987315.86918
2049,4791182.57772,13050321.2546,12612925.3656,5012415.34492
2050,4812184.17987,13071322.8568,12633926.9678,5033416.94706
