year,Base case diesel consumed,"Hughes (creek northwest) -- unnamed creek, northwest of hughes","Hughes -- unnamed creek, west of hughes"
2021,27551.0861253,23394.8683275,24018.3009971
2022,27616.065102,23459.8473042,24083.2799738
2023,27616.065102,23459.8473042,24083.2799738
2024,27616.065102,23459.8473042,24083.2799738
2025,27616.065102,23459.8473042,24083.2799738
2026,27681.0440787,23524.8262809,24148.2589506
2027,27746.0230554,23589.8052576,24213.2379273
2028,27875.9810089,23719.763211,24343.1958807
2029,27940.9599856,23784.7421877,24408.1748574
2030,28005.9389623,23849.7211644,24473.1538341
2031,28135.8969157,23979.6791179,24603.1117875
2032,28200.8758924,24044.6580946,24668.0907642
2033,28265.8548691,24109.6370713,24733.069741
2034,28330.8338458,24174.616048,24798.0487177
2035,28460.7917993,24304.5740014,24928.0066711
2036,28525.770776,24369.5529781,24992.9856478
2037,28525.770776,24369.5529781,24992.9856478
2038,28655.7287294,24499.5109315,25122.9436012
2039,28655.7287294,24499.5109315,25122.9436012
2040,28785.6866828,24629.468885,25252.9015546
2041,28785.6866828,24629.468885,25252.9015546
2042,28850.6656595,24694.4478617,25317.8805314
2043,28850.6656595,24694.4478617,25317.8805314
2044,28850.6656595,24694.4478617,25317.8805314
2045,28850.6656595,24694.4478617,25317.8805314
2046,28850.6656595,24694.4478617,25317.8805314
2047,28785.6866828,24629.468885,25252.9015546
2048,28785.6866828,24629.468885,25252.9015546
2049,28720.7077061,24564.4899083,25187.9225779
2050,28655.7287294,24499.5109315,25122.9436012
2051,28655.7287294,24499.5109315,25122.9436012
2052,28655.7287294,24499.5109315,25122.9436012
2053,28655.7287294,24499.5109315,25122.9436012
2054,28655.7287294,24499.5109315,25122.9436012
2055,28655.7287294,24499.5109315,25122.9436012
2056,28655.7287294,24499.5109315,25122.9436012
2057,28655.7287294,24499.5109315,25122.9436012
2058,28655.7287294,24499.5109315,25122.9436012
2059,28655.7287294,24499.5109315,25122.9436012
2060,28655.7287294,24499.5109315,25122.9436012
2061,28655.7287294,24499.5109315,25122.9436012
2062,28655.7287294,24499.5109315,25122.9436012
2063,28655.7287294,24499.5109315,25122.9436012
2064,28655.7287294,24499.5109315,25122.9436012
2065,28655.7287294,24499.5109315,25122.9436012
2066,28655.7287294,24499.5109315,25122.9436012
2067,28655.7287294,24499.5109315,25122.9436012
2068,28655.7287294,24499.5109315,25122.9436012
2069,28655.7287294,24499.5109315,25122.9436012
2070,28655.7287294,24499.5109315,25122.9436012
