year,annotation,diesel generation efficiency
2002,,0.0
2003,,0.0
2004,,0.0
2005,,0.0
2006,,10.88
2007,,11.08
2008,,11.9
2009,,11.7
2010,,11.32
2011,,9.97
2012,,11.82
2013,,8.25
2014,,
2015,,22.52
2016,start of forecast,15.39
2017,,15.39
2018,,15.39
2019,,15.39
2020,,15.39
2021,,15.39
2022,,15.39
2023,,15.39
2024,,15.39
2025,,15.39
2026,,15.39
2027,,15.39
2028,,15.39
2029,,15.39
2030,,15.39
2031,,15.39
2032,,15.39
2033,,15.39
2034,,15.39
2035,,15.39
2036,,15.39
2037,,15.39
2038,,15.39
2039,,15.39
2040,,15.39
