year,Base case diesel consumed,Modeled diesel efficiency
2019,27421.1281719,24928.2983381
2020,27486.1071486,24987.3701351
2021,27551.0861253,25046.4419321
2022,27616.065102,25105.5137291
2023,27616.065102,25105.5137291
2024,27616.065102,25105.5137291
2025,27616.065102,25105.5137291
2026,27681.0440787,25164.5855261
2027,27746.0230554,25223.6573231
2028,27875.9810089,25341.8009172
2029,27940.9599856,25400.8727142
2030,28005.9389623,25459.9445112
2031,28135.8969157,25578.0881052
2032,28200.8758924,25637.1599022
2033,28265.8548691,25696.2316992
2034,28330.8338458,25755.3034962
2035,28460.7917993,25873.4470902
2036,28525.770776,25932.5188872
2037,28525.770776,25932.5188872
2038,28655.7287294,26050.6624813
