year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,3.0
2004,,2.62,3.0
2005,,3.34,5.4
2008,,5.43,7.85
2009,,4.45,8.55
2010,,4.79,8.55
2011,,5.71,8.78
2012,,6.23,9.25
2013,,6.06,9.0
2014,,5.98,9.0
2016,start of forecast,3.6,5.15
2017,,4.11,5.66
2018,,4.47,6.02
2019,,4.96,6.51
2020,,5.18,6.73
2021,,5.33,6.88
2022,,5.44,6.99
2023,,5.52,7.07
2024,,5.58,7.13
2025,,5.66,7.21
2026,,5.75,7.3
2027,,5.82,7.37
2028,,5.89,7.44
2029,,5.97,7.52
2030,,6.02,7.57
2031,,6.12,7.67
2032,,6.21,7.76
2033,,6.3,7.85
2034,,6.4,7.95
2035,,6.46,8.01
2036,,6.55,8.1
2037,,6.61,8.16
2038,,6.71,8.26
2039,,6.78,8.33
2040,,6.88,8.43
