year,Base case cost,Modeled biomass for heat (cordwood)
2017,166438.612097,171625.261007
2018,177023.332097,179085.026388
2019,191430.312097,189379.622869
2020,197898.752097,193812.738908
2021,202309.052097,196732.23282
2022,205543.272097,198790.120737
2023,207895.432097,200203.617798
2024,209659.552097,201189.943533
2025,212011.712097,202618.530025
2026,214657.892097,204271.799788
2027,216716.032097,205497.373931
2028,218774.172097,206729.891319
2029,221126.332097,208186.591971
2030,222596.432097,208997.705962
2031,225536.632097,210902.300114
2032,,
2033,,
2034,,
2035,,
2036,,
