year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,29402.0,21740.2752235
2018,29402.0,21740.2752235
2019,29402.0,21740.2752235
2020,29402.0,21740.2752235
2021,29402.0,21740.2752235
2022,29402.0,21740.2752235
2023,29402.0,21740.2752235
2024,29402.0,21740.2752235
2025,29402.0,21740.2752235
2026,29402.0,21740.2752235
2027,29402.0,21740.2752235
2028,29402.0,21740.2752235
2029,29402.0,21740.2752235
2030,29402.0,21740.2752235
2031,29402.0,21740.2752235
2032,,
2033,,
2034,,
2035,,
2036,,
