year,Base case cost,"Hughes (creek northwest) -- unnamed creek, northwest of hughes","Hughes -- unnamed creek, west of hughes"
2021,146847.289048,840820.59023,796399.041437
2022,150231.394155,829623.059198,786206.049901
2023,152440.679363,817695.972142,775244.432429
2024,154097.643269,805616.299746,764097.339214
2025,156306.928477,794330.10093,753733.982277
2026,159166.003453,783965.168798,744276.986436
2027,161481.854183,773434.480175,734622.824838
2028,164189.528142,763590.512849,725635.769839
2029,166807.531114,753907.114831,716795.791085
2030,168595.752553,743788.410111,707484.813872
2031,172191.689124,735563.335495,700077.508697
2032,175127.439292,726984.028779,692292.470051
2033,178074.885676,718678.340282,684763.62828
2034,181317.336613,710885.693645,677736.477237
2035,183856.715023,702790.747018,670367.764279
2036,186843.798583,695274.201391,663578.213146
2037,188555.344829,686833.573332,655831.749234
2038,192279.939774,680487.643254,650187.157675
2039,194285.840785,672763.438666,643132.195263
2040,198045.524378,666901.635121,637941.863165
2041,198045.524378,657874.265436,629514.935234
2042,198492.579738,649505.530081,621732.568781
2043,198492.579738,640896.359499,613696.024076
2044,198492.579738,632488.966319,605847.835857
2045,198492.579738,624278.621449,598183.589579
2046,198492.579738,616260.706527,590698.974063
2047,198045.524378,607983.656145,582942.723882
2048,198045.524378,600337.176631,575804.838314
2049,197598.469018,592422.85605,568387.191514
2050,197151.413658,584683.549549,561132.917998
2051,197151.413658,577562.210554,554485.244027
2052,197151.413658,570607.777937,547993.37491
2053,197151.413658,563816.33986,541653.658999
2054,197151.413658,557184.076056,535462.530128
2055,197151.413658,550707.255957,529416.505859
2056,197151.413658,544382.236334,523512.18529
2057,197151.413658,538205.459367,517746.247241
2058,197151.413658,532173.450586,512115.448342
2059,197151.413658,526282.817059,506616.621338
2060,197151.413658,520530.245216,501246.673055
2061,197151.413658,514912.499279,496002.582939
2062,197151.413658,509426.419265,490881.401187
2063,197151.413658,504068.919235,485880.247117
2064,197151.413658,498836.985661,480996.30764
2065,197151.413658,493727.675491,476226.83546
2066,197151.413658,488738.114761,471569.147767
2067,197151.413658,483865.496902,467020.624668
2068,197151.413658,479107.080984,462578.707542
2069,197151.413658,474460.190452,458240.897861
2070,197151.413658,469922.21143,454004.755606
