year,Base case cost,Modeled water and wastewater efficiency
2017,54714.5318974,26493.4910177
2018,57598.157206,26909.1106645
2019,61652.3625251,27609.5261699
2020,63458.6521456,27781.585081
2021,64812.6684101,27851.9031642
2022,65719.0777712,27821.8703978
2023,66441.6551296,27753.5420813
2024,66985.2180079,27648.3554458
2025,67619.853399,27570.4239207
2026,68436.7689691,27541.4148087
2027,69165.3975106,27496.8001673
2028,69715.25762,27414.8964648
2029,70445.2157566,27380.8333564
2030,70993.9902578,27308.4614049
2031,71814.3341285,27305.5774161
