year,Base case diesel consumed,Dillingham (elva lake),"Dillingham (aleknagik, grant lake)",Nushagak area hydropower project (nahp) -- grant lake
2021,1274417.23158,546503.357524,609160.69169,490278.711928
2022,1273143.35072,545229.476663,607886.81083,489004.831067
2023,1271869.46986,543955.595802,606612.929969,487730.950207
2024,1270126.26447,542212.390414,604869.724581,485987.744818
2025,1268316.01272,540402.138665,603059.472831,484177.493069
2026,1266237.57553,538323.701471,600981.035638,482099.055875
2027,1263689.8138,535775.939749,598433.273916,479551.294154
2028,1261007.95936,533094.085306,595751.419473,476869.43971
2029,1259331.80033,531417.926279,594075.260445,475193.280683
2030,1257052.22406,529138.350002,591795.684168,472913.704406
2031,1258661.33672,530747.462668,593404.796835,474522.817072
2032,1254973.78686,527059.912808,589717.246975,470835.267212
2033,1252224.88606,524311.012003,586968.34617,468086.366408
2034,1249811.21706,521897.343004,584554.677171,465672.697409
2035,1247866.87259,519952.998532,582610.332699,463728.352937
2036,1246660.03809,518746.164033,581403.4982,462521.518437
2037,1244782.73998,516868.865922,579526.200089,460644.220327
2038,1242436.11734,514522.243284,577179.577451,458297.597689
2039,1238547.4284,510633.554341,573290.888508,454408.908746
2040,1238547.4284,510633.554341,573290.888508,454408.908746
2041,1238949.70656,511035.832508,573693.166674,454811.186912
2042,1237474.68662,509560.812564,572218.14673,453336.166968
2043,1239016.75292,511102.878869,573760.213035,454878.233273
2044,1241296.3292,513382.455146,576039.789312,457157.80955
2045,1243911.13728,515997.263228,578654.597395,459772.617633
2046,1249274.84617,521360.972115,584018.306282,465136.32652
2047,1252291.93242,524378.058364,587035.392531,468153.412769
2048,1255778.3432,527864.469141,590521.803308,471639.823545
2049,1261745.46933,533831.595278,596488.929445,477606.949682
2050,1266773.94641,538860.07236,601517.406526,482635.426764
2051,1266773.94641,538860.07236,601517.406526,482635.426764
2052,1266773.94641,538860.07236,601517.406526,482635.426764
2053,1266773.94641,538860.07236,601517.406526,482635.426764
2054,1266773.94641,538860.07236,601517.406526,482635.426764
2055,1266773.94641,538860.07236,601517.406526,482635.426764
2056,1266773.94641,538860.07236,601517.406526,482635.426764
2057,1266773.94641,538860.07236,601517.406526,482635.426764
2058,1266773.94641,538860.07236,601517.406526,482635.426764
2059,1266773.94641,538860.07236,601517.406526,482635.426764
2060,1266773.94641,538860.07236,601517.406526,482635.426764
2061,1266773.94641,538860.07236,601517.406526,482635.426764
2062,1266773.94641,538860.07236,601517.406526,482635.426764
2063,1266773.94641,538860.07236,601517.406526,482635.426764
2064,1266773.94641,538860.07236,601517.406526,482635.426764
2065,1266773.94641,538860.07236,601517.406526,482635.426764
2066,1266773.94641,538860.07236,601517.406526,482635.426764
2067,1266773.94641,538860.07236,601517.406526,482635.426764
2068,1266773.94641,538860.07236,601517.406526,482635.426764
2069,1266773.94641,538860.07236,601517.406526,482635.426764
2070,1266773.94641,538860.07236,601517.406526,482635.426764
