year,Base case cost,Modeled solar power
2020,3329203.82146,3483207.03307
2021,3466414.86989,3614449.59455
2022,3552069.9485,3695017.19971
2023,3624827.98909,3762990.44908
2024,3670664.90431,3804522.6124
2025,3728849.07739,3858322.06075
2026,3798712.72658,3923723.06441
2027,3866890.83024,3987542.62178
2028,3909124.67402,4025876.80692
2029,3979488.48905,4092080.56493
2030,4022567.11698,4131447.90698
2031,4103235.95771,4208146.47344
2032,4179062.71025,4279923.19496
2033,4245042.36373,4342118.18862
2034,4324346.81102,4417556.90051
2035,4367534.05405,4457474.58533
2036,4450576.33597,4536824.78434
2037,4506113.51872,4589088.07044
2038,4584589.27298,4664039.2164
2039,4632167.3822,4708501.93931
