year,Base case cost,Nushagak community wind power project,Modeled wind power
2019,3154103.53345,3389358.10784,3389358.10784
2020,3329203.82146,3479817.60222,3479817.60222
2021,3466414.86989,3545802.55041,3545802.55041
2022,3552069.9485,3577910.8699,3577910.8699
2023,3624827.98909,3601953.49544,3601953.49544
2024,3670664.90431,3608171.6171,3608171.6171
2025,3728849.07739,3622986.23632,3622986.23632
2026,3798712.72658,3645717.20842,3645717.20842
2027,3866890.83024,3667265.67934,3667265.67934
2028,3909124.67402,3671917.62661,3671917.62661
2029,3979488.48905,3696622.80393,3696622.80393
2030,4022567.11698,3703067.77268,3703067.77268
2031,4103235.95771,3739003.98877,3739003.98877
2032,4179062.71025,3766266.66907,3766266.66907
2033,4245042.36373,3788396.81279,3788396.81279
2034,4324346.81102,3819999.60477,3819999.60477
2035,4367534.05405,3828736.02357,3828736.02357
2036,4450576.33597,3864899.11485,3864899.11485
2037,4506113.51872,3882510.42084,3882510.42084
2038,4584589.27298,3914891.34801,3914891.34801
