year,Base case diesel consumed,Modeled solar power
2020,1275557.01972,1256517.58386
2021,1274417.23158,1255530.11121
2022,1273143.35072,1254407.32731
2023,1271869.46986,1253283.33464
2024,1270126.26447,1251688.81833
2025,1268316.01272,1250026.06615
2026,1266237.57553,1248093.94853
2027,1263689.8138,1245691.33582
2028,1261007.95936,1243153.4692
2029,1259331.80033,1241620.1461
2030,1257052.22406,1239482.26305
2031,1258661.33672,1241231.93541
2032,1254973.78686,1237683.82076
2033,1252224.88606,1235073.23968
2034,1249811.21706,1232796.78385
2035,1247866.87259,1230988.55485
2036,1246660.03809,1229916.74689
2037,1244782.73998,1228173.39511
2038,1242436.11734,1225959.64723
2039,1238547.4284,1222202.77005
