year,annotation,Average Load
2003,,1944.0
2004,,2031.0
2005,,1942.0
2006,,1990.0
2007,,1963.0
2008,,1978.0
2009,,1962.0
2010,,2075.0
2011,,2057.0
2012,,2091.0
2013,,2087.0
2014,start of forecast,2106.0
2015,,2107.0
2016,,2103.0
2017,,2098.0
2018,,2093.0
2019,,2092.0
2020,,2090.0
2021,,2088.0
2022,,2086.0
2023,,2084.0
2024,,2081.0
2025,,2078.0
2026,,2074.0
2027,,2070.0
2028,,2066.0
2029,,2063.0
2030,,2059.0
2031,,2062.0
2032,,2056.0
2033,,2052.0
2034,,2048.0
2035,,2044.0
2036,,2042.0
2037,,2039.0
2038,,2035.0
2039,,2029.0
2040,,2029.0
