year,Base case cost,Dillingham (elva lake),"Dillingham (aleknagik, grant lake)",Nushagak area hydropower project (nahp) -- grant lake
2021,3466414.86989,11227664.6448,10802445.8977,4124402.27563
2022,3552069.9485,11079592.0904,10669789.9541,4107418.627
2023,3624827.98909,10929615.7796,10534394.1823,4085884.83128
2024,3670664.90431,10770206.3342,10388167.57,4052855.09361
2025,3728849.07739,10620738.3415,10252194.5992,4026247.39318
2026,3798712.72658,10480445.7707,10125715.2329,4005366.24202
2027,3866890.83024,10342465.3837,10001304.1671,3983926.90592
2028,3909124.67402,10195640.233,9866674.33197,3951858.93778
2029,3979488.48905,10067562.1241,9751694.79163,3934781.38664
2030,4022567.11698,9929117.46729,9624985.73099,3905683.27453
2031,4103235.95771,9818703.47601,9527221.36355,3900986.0147
2032,4179062.71025,9700400.36377,9421919.18237,3885340.61974
2033,4245042.36373,9582315.36217,9316055.65757,3867933.30017
2034,4324346.81102,9474343.6335,9220666.74757,3857698.34177
2035,4367534.05405,9353354.73682,9110355.17666,3833600.74366
2036,4450576.33597,9255657.02818,9024841.54376,3828946.82568
2037,4506113.51872,9146803.33547,8926843.69846,3811891.82875
2038,4584589.27298,9050772.49218,8842616.65997,3804429.20138
2039,4632167.3822,8940047.02373,8742375.68059,3781131.7503
2040,4731251.17647,8863971.11694,8678308.84306,3788846.2046
2041,4732787.87907,8745998.19452,8567626.65917,3756681.16546
2042,4727153.30288,8623655.00016,8452403.32664,3718134.73211
2043,4733043.99617,8515572.43243,8351273.74906,3691884.93958
2044,4741751.97754,8412978.40188,8255469.74789,3669205.728
2045,4751740.54442,8314273.59787,8163395.83195,3648542.73929
2046,4772229.91237,8228617.09576,8084214.80646,3639098.94747
2047,4783755.18184,8136484.28938,7998405.70771,3621392.61571
2048,4797073.27101,8048573.78799,7916670.7021,3606164.21906
2049,4819867.69285,7972512.1647,7846639.83638,3601081.21344
2050,4839076.4753,7895181.84066,7775198.92403,3593065.94566
2051,4839076.4753,7800905.3696,7686673.83157,3566479.95914
2052,4839076.4753,7708838.50296,7600223.5456,3540517.08158
2053,4839076.4753,7618929.45424,7515799.43891,3515162.70916
2054,4839076.4753,7531127.64825,7433354.02166,3490402.57968
2055,4839076.4753,7445383.69715,7352840.91893,3466222.76575
2056,4839076.4753,7361649.36994,7274214.84208,3442609.66622
2057,4839076.4753,7279877.56577,7197431.56367,3419549.99864
2058,4839076.4753,7200022.28901,7122447.89404,3397030.79223
2059,4839076.4753,7122038.6197,7049221.65362,3375039.37955
2060,4839076.4753,7045882.69239,6977711.65297,3353563.39053
2061,4839076.4753,6971511.67024,6907877.66853,3332590.74518
2062,4839076.4753,6898883.71832,6839680.41755,3312109.64604
2063,4839076.4753,6827957.98423,6773081.53981,3292108.57271
2064,4839076.4753,6758694.57221,6708043.57346,3272576.2746
2065,4839076.4753,6691054.52203,6644529.93501,3253501.76489
2066,4839076.4753,6624999.78396,6582504.896,3234874.31357
2067,4839076.4753,6560493.20503,6521933.56998,3216683.44347
2068,4839076.4753,6497498.49852,6462781.88393,3198918.92175
2069,4839076.4753,6435980.23109,6405016.56612,3181570.75619
2070,4839076.4753,6375903.79783,6348605.12274,3164629.18819
