year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,1280719.59,12819.9,1054759.54,942487.05
2018,1277300.23,12781.2,1054759.54,936070.82
2019,1276964.99,12777.68,1054759.54,934787.57
2020,1275557.02,12761.7,1054759.54,932221.08
2021,1274417.23,12749.29,1054759.54,929654.59
2022,1273143.35,12734.49,1054759.54,927088.09
2023,1271869.47,12720.09,1054759.54,924521.6
2024,1270126.26,12700.54,1054759.54,921955.1
2025,1268316.01,12680.45,1054759.54,918105.36
2026,1266237.58,12656.69,1054759.54,914255.62
2027,1263689.81,12628.15,1054759.54,909122.64
2028,1261007.96,12597.93,1054759.54,903989.65
2029,1259331.8,12578.53,1054759.54,900139.91
2030,1257052.22,12553.0,1054759.54,896290.17
2031,1258661.34,12571.47,1054759.54,898856.66
2032,1254973.79,12529.53,1054759.54,891157.18
2033,1252224.89,12498.78,1054759.54,886024.2
2034,1249811.22,12471.27,1054759.54,880891.21
2035,1247866.87,12449.59,1054759.54,878324.71
2036,1246660.04,12435.39,1054759.54,875758.22
2037,1244782.74,12414.35,1054759.54,871908.48
2038,1242436.12,12388.06,1054759.54,866775.49
2039,1238547.43,12343.65,1054759.54,859076.01
2040,1238547.43,12343.74,1054759.54,859076.01
