year,Base case diesel consumed,Nushagak community wind power project,Modeled wind power
2019,1276964.9933,777397.470962,777397.470962
2020,1275557.01972,775989.49738,775989.49738
2021,1274417.23158,774849.709241,774849.709241
2022,1273143.35072,773575.82838,773575.82838
2023,1271869.46986,772301.94752,772301.94752
2024,1270126.26447,770558.742131,770558.742131
2025,1268316.01272,768748.490382,768748.490382
2026,1266237.57553,766670.053188,766670.053188
2027,1263689.8138,764122.291467,764122.291467
2028,1261007.95936,761440.437023,761440.437023
2029,1259331.80033,759764.277996,759764.277996
2030,1257052.22406,757484.701719,757484.701719
2031,1258661.33672,759093.814385,759093.814385
2032,1254973.78686,755406.264525,755406.264525
2033,1252224.88606,752657.363721,752657.363721
2034,1249811.21706,750243.694721,750243.694721
2035,1247866.87259,748299.35025,748299.35025
2036,1246660.03809,747092.51575,747092.51575
2037,1244782.73998,745215.21764,745215.21764
2038,1242436.11734,742868.595002,742868.595002
