year,Base case cost,"Nulato (west tributary nulato river) -- nulato river, west tributary","Koyukuk (east tributary nulato river) -- nulato river, east tributary"
2021,357507.025315,1640943.29834,1778927.71046
2022,367147.6642,1648062.10582,1785723.20622
2023,374378.143364,1653401.21144,1790819.82804
2024,380001.84938,1657553.84913,1794783.86724
2025,386428.94197,1662299.72079,1799314.19775
2026,395266.194281,1668825.29431,1805543.4022
2027,402867.296532,1674535.02301,1811010.64711
2028,408496.180915,1678692.83908,1814979.86467
2029,415733.317979,1684038.60259,1820083.14439
2030,420944.973975,1687989.34288,1823872.22883
2031,429798.501152,1694531.19127,1830117.70815
2032,438652.028329,1701073.03967,1836363.18746
2033,446700.6894,1707020.17457,1842040.89593
2034,456778.53037,1714576.18414,1849273.59378
2035,462417.771486,1718744.35693,1853253.16808
2036,471279.436096,1725294.34276,1859506.78483
2037,476918.677212,1729462.51555,1863486.35912
2038,485780.341822,1736012.50138,1869739.97587
2039,493030.794685,1741371.58069,1874856.57139
2040,503503.671043,1749112.47303,1882247.20937
2041,503503.671043,1749112.47303,1882247.20937
2042,503966.025195,1749574.82718,1882709.56352
2043,503966.025195,1749574.82718,1882709.56352
2044,503966.025195,1749574.82718,1882709.56352
2045,503966.025195,1749574.82718,1882709.56352
2046,503966.025195,1749574.82718,1882709.56352
2047,503503.671043,1749112.47303,1882247.20937
2048,503503.671043,1749112.47303,1882247.20937
2049,503503.671043,1749112.47303,1882247.20937
2050,503503.671043,1749112.47303,1882247.20937
