year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,61300.0,45326.1328857
2018,61300.0,45326.1328857
2019,61300.0,45326.1328857
2020,61300.0,45326.1328857
2021,61300.0,45326.1328857
2022,61300.0,45326.1328857
2023,61300.0,45326.1328857
2024,61300.0,45326.1328857
2025,61300.0,45326.1328857
2026,61300.0,45326.1328857
2027,61300.0,45326.1328857
2028,61300.0,45326.1328857
2029,61300.0,45326.1328857
2030,61300.0,45326.1328857
2031,61300.0,45326.1328857
2032,,
2033,,
2034,,
2035,,
2036,,
