year,Base case cost,Modeled wind power
2019,324269.310068,510134.700854
2020,343532.833438,526589.412501
2021,357507.025315,538574.029407
2022,367147.6642,546810.26243
2023,374378.143364,552987.437197
2024,380001.84938,557791.906461
2025,386428.94197,563282.728476
2026,395266.194281,570832.608747
2027,402867.296532,577380.406603
2028,408496.180915,582190.054233
2029,415733.317979,588373.8869
2030,420944.973975,592883.339965
2031,429798.501152,600449.495103
2032,438652.028329,608015.65024
2033,446700.6894,614893.973092
2034,456778.53037,623567.408201
2035,462417.771486,628387.412564
2036,471279.436096,635961.705134
2037,476918.677212,640781.709497
2038,485780.341822,648356.002068
