year,Base case cost,Modeled solar power (pv)
2016,532986.056622,560507.549218
2017,653542.426572,679475.717522
2018,744488.460043,769261.272427
2019,873812.17373,896931.167033
2020,935169.445008,957565.562389
2021,977828.505216,999766.247647
2022,1012048.29963,1033646.99392
2023,1033583.90137,1055015.24875
2024,1053015.63819,1074310.53448
2025,1076699.7413,1097806.98244
2026,1104640.67436,1125510.3184
2027,1126238.02319,1146954.87042
2028,1146130.25944,1166724.15472
2029,1172010.47615,1192405.48632
2030,1189412.74214,1209717.23826
2031,1217876.66566,1237963.76052
2032,1248069.50788,1267917.98065
2033,1276602.61791,1296242.69412
2034,1309432.73069,1328818.24306
2035,1329523.59916,1348809.84332
