year,Base case diesel consumed,Cold bay waste heat recovery project
2017,100457.731342,74515.7313424
2018,100457.731342,74515.7313424
2019,100457.731342,74515.7313424
2020,100457.731342,74515.7313424
2021,100457.731342,74515.7313424
2022,100457.731342,74515.7313424
2023,100457.731342,74515.7313424
2024,100457.731342,74515.7313424
2025,100457.731342,74515.7313424
2026,100457.731342,74515.7313424
2027,100457.731342,74515.7313424
2028,100457.731342,74515.7313424
2029,100457.731342,74515.7313424
2030,100457.731342,74515.7313424
2031,100457.731342,74515.7313424
