year,Base case cost,Cold bay waste heat recovery project
2016,,
2017,382690.354128,299407.75576
2018,425887.178605,331449.520237
2019,487166.394724,376904.116356
2020,516299.136813,398513.678445
2021,536390.683082,413416.824714
2022,552463.920097,425339.341729
2023,562509.693231,432790.914863
2024,571550.889052,439497.330684
2025,582601.239499,447694.061131
2026,595660.744574,457381.106206
2027,605706.517708,464832.67934
2028,614747.713529,471539.095161
2029,626802.64129,480480.982922
2030,634839.259797,486442.241429
2031,647898.764872,496129.286504
2032,,
2033,,
2034,,
2035,,
