year,Base case cost,Modeled non-residential energy efficiency
2017,1414296.60645,1277618.39703
2018,1523124.14244,1369381.94803
2019,1677507.39118,1499558.14829
2020,1750902.70615,1561445.19431
2021,1801520.16476,1604125.91571
2022,1842014.13164,1638270.49282
2023,1867322.86094,1659610.85352
2024,1890100.71731,1678817.17815
2025,1917940.31954,1702291.57492
2026,1950841.66763,1730034.04382
2027,1976150.39693,1751374.40452
2028,1998928.2533,1770580.72915
2029,2029298.72847,1796189.16199
2030,2049545.71191,1813261.45055
2031,2082447.06,1841003.91945
