year,Base case cost,"Cold bay (unnamed stream, #4) -- unnamed creek, 3","Cold bay (unnamed stream, #2) -- unnamed creek, 2","Cold bay (russell creek, east branch downstream)"
2021,977828.505216,1334041.25514,987268.327733,1392059.51246
2022,1012048.29963,1335757.08621,990967.839491,1393229.83134
2023,1033583.90137,1336977.71086,993428.264568,1394109.51087
2024,1053015.63819,1338125.9683,995692.34239,1394950.9177
2025,1076699.7413,1339463.59661,998393.751176,1395913.50638
2026,1104640.67436,1340995.05945,1001536.95457,1397001.74057
2027,1126238.02319,1342277.43119,1004059.12674,1397943.1672
2028,1146130.25944,1343886.18806,1006783.704,1399245.07345
2029,1172010.47615,1345388.43226,1009773.70871,1400338.18351
2030,1189412.74214,1346538.71657,1011915.83337,1401215.71174
2031,1217876.66566,1348593.16988,1015582.02723,1402826.93639
2032,1248069.50788,1350345.04417,1019069.62213,1404101.48751
2033,1276602.61791,1352468.68398,1022805.00249,1405781.89867
2034,1309432.73069,1354826.33112,1027022.35028,1407628.12813
2035,1329523.59916,1356633.72021,1029945.55976,1409128.66662
2036,1360301.92288,1358971.07601,1034018.63615,1410988.69925
2037,1380453.79451,1360839.46825,1037002.84878,1412550.24089
2038,1413443.11064,1363356.31875,1041379.39993,1414555.67371
2039,1437930.66995,1365497.40326,1044884.26491,1416321.71859
2040,1473141.39367,1368204.16364,1049574.70597,1418482.96678
2041,1474166.54426,1369229.31422,1050599.85656,1419508.11736
2042,1474679.11955,1369741.88952,1051112.43185,1420020.69266
2043,1475704.27014,1370767.04011,1052137.58244,1421045.84325
2044,1476729.42073,1371792.19069,1053162.73302,1422070.99383
2045,1477754.57131,1372817.34128,1054187.88361,1423096.14442
2046,1478779.7219,1373842.49187,1055213.0342,1424121.29501
2047,1479292.2972,1374355.06716,1055725.60949,1424633.8703
2048,1480317.44778,1375380.21775,1056750.76008,1425659.02089
2049,1481342.59837,1376405.36833,1057775.91067,1426684.17147
2050,1481855.17366,1376917.94363,1058288.48596,1427196.74677
