year,Base case diesel consumed,Modeled residential energy efficiency
2017,41941.481252,28492.5634953
2018,41941.481252,28492.5634953
2019,41941.481252,28492.5634953
2020,41941.481252,28492.5634953
2021,41941.481252,28492.5634953
2022,40912.3564869,27463.4387301
2023,40912.3564869,27463.4387301
2024,40912.3564869,27463.4387301
2025,40912.3564869,27463.4387301
2026,39883.2317218,26434.313965
2027,39883.2317218,26434.313965
2028,39883.2317218,26434.313965
2029,38854.1069566,25405.1891999
2030,38854.1069566,25405.1891999
2031,37824.9821915,24376.0644348
2032,37824.9821915,24376.0644348
2033,36795.8574264,23346.9396696
2034,36795.8574264,23346.9396696
2035,35766.7326613,22317.8149045
2036,35766.7326613,22317.8149045
