year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.86
2001,,,2.86
2004,,1.52,3.86
2005,,1.73,3.99
2006,,1.86,5.38
2008,,3.13,5.82
2009,,3.98,7.36
2010,,2.92,6.82
2011,,3.03,6.51
2012,,3.68,7.37
2013,,3.79,7.37
2014,,,7.04
2016,start of forecast,1.82,4.02
2017,,2.17,4.37
2018,,2.43,4.63
2019,,2.78,4.98
2020,,2.95,5.15
2021,,3.06,5.26
2022,,3.15,5.35
2023,,3.21,5.41
2024,,3.26,5.46
2025,,3.31,5.51
2026,,3.39,5.59
2027,,3.45,5.65
2028,,3.5,5.7
2029,,3.56,5.76
2030,,3.6,5.8
2031,,3.68,5.88
2032,,3.75,5.95
2033,,3.82,6.02
2034,,3.9,6.1
2035,,3.95,6.15
2036,,4.03,6.23
2037,,4.07,6.27
2038,,4.15,6.35
2039,,4.21,6.41
2040,,4.3,6.5
