year,Base case diesel consumed,Modeled transmission and interties
2021,617071.66961,308535.834805
2022,631599.813287,315799.906644
2023,646577.280996,323288.640498
2024,661704.523383,330852.261691
2025,676981.540446,338490.770223
2026,692558.106863,346279.053431
2027,708284.447957,354142.223979
2028,724160.563729,362080.281864
2029,740336.228855,370168.114427
2030,756811.443334,378405.721667
2031,773586.207169,386793.103584
2032,790510.74568,395255.37284
2033,807585.058868,403792.529434
2034,825108.696087,412554.348044
2035,842931.882661,421465.941331
2036,861204.393266,430602.196633
2037,879776.453225,439888.226613
2038,898797.837216,449398.918608
2039,918118.77056,459059.38528
2040,937589.478582,468794.739291
