year,Base case diesel consumed,Modeled non-residential ashp
2017,216754.249655,122397.393643
2018,223058.181686,128701.325674
2019,230150.10522,135793.249208
2020,236454.03725,142097.181238
2021,243545.960784,149189.104772
2022,250637.884318,156281.028306
2023,258517.799356,164160.943344
2024,265609.72289,171252.866878
2025,273489.637928,179132.781916
2026,280581.561462,186224.70545
2027,288461.4765,194104.620488
2028,296341.391538,201984.535526
2029,304221.306576,209864.450564
2030,312889.213118,218532.357106
2031,320769.128156,226412.272144
