year,Base case cost,Modeled biomass for heat (cordwood)
2017,285384.112546,328578.019104
2018,307131.232546,344658.173504
2019,335931.472546,365953.513115
2020,349449.952546,375949.284769
2021,358854.112546,382902.86505
2022,365907.232546,388118.050261
2023,370609.312546,391594.840402
2024,374135.872546,394202.433007
2025,378837.952546,397679.223148
2026,384715.552546,402025.210823
2027,389417.632546,405502.000964
2028,393531.952546,408544.192337
2029,398821.792546,412455.581245
2030,401760.592546,414628.575083
2031,407638.192546,418974.562759
2032,,
2033,,
2034,,
2035,,
2036,,
