year,Base case diesel consumed,Modeled residential energy efficiency
2017,23018.7732501,23018.7732501
2018,23018.7732501,23018.7732501
2019,23018.7732501,23018.7732501
2020,23018.7732501,23018.7732501
2021,23018.7732501,23018.7732501
2022,23018.7732501,23018.7732501
2023,23018.7732501,23018.7732501
2024,22062.7391923,22062.7391923
2025,22062.7391923,22062.7391923
2026,22062.7391923,22062.7391923
2027,22062.7391923,22062.7391923
2028,22062.7391923,22062.7391923
2029,22062.7391923,22062.7391923
2030,23018.7732501,23018.7732501
2031,23018.7732501,23018.7732501
2032,22062.7391923,22062.7391923
2033,22062.7391923,22062.7391923
2034,22062.7391923,22062.7391923
2035,21106.7051345,21106.7051345
2036,21106.7051345,21106.7051345
