year,Base case cost,Modeled water and wastewater efficiency
2017,51145.5764407,40480.1787283
2018,53635.3159279,42101.1823629
2019,56992.8813399,44323.7486385
2020,58610.587088,45347.0934187
2021,59683.2629266,45996.2379282
2022,60538.4377042,46497.3308754
2023,61068.2681093,46775.8612062
2024,61489.2123873,46981.2402854
2025,62016.4986634,47262.0138917
2026,62757.2786058,47692.1083493
2027,63277.7983718,47971.9566071
2028,63687.2211428,48176.9063132
2029,64313.7002602,48533.566794
2030,64720.5104804,48740.2660604
2031,65341.1080962,49096.2855156
