year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,116086.96,0.0,34972.16,35927.3
2018,117572.08,0.0,34972.16,35927.3
2019,119222.21,0.0,34972.16,34359.49
2020,120954.85,0.0,34972.16,34359.49
2021,122522.48,0.0,34972.16,34359.49
2022,124090.11,0.0,34972.16,32791.68
2023,125905.26,0.0,34972.16,32791.68
2024,127637.9,0.0,34972.16,32791.68
2025,129288.03,0.0,34972.16,31223.87
2026,130938.17,0.0,34972.16,31223.87
2027,132505.79,0.0,34972.16,31223.87
2028,133908.41,0.0,34972.16,29656.06
2029,135971.08,0.0,34972.16,29656.06
2030,137951.24,0.0,34972.16,29656.06
2031,139518.87,0.0,34972.16,28088.25
2032,140673.96,0.0,34972.16,28088.25
2033,141581.53,0.0,34972.16,28088.25
2034,142654.12,0.0,34972.16,28088.25
2035,143974.23,0.0,34972.16,26520.44
2036,145211.83,0.0,34972.16,26520.44
2037,146449.43,0.0,34972.16,26520.44
2038,147687.03,0.0,34972.16,26520.44
2039,148677.11,0.0,34972.16,24952.63
2040,149584.69,0.0,34972.16,24952.63
