year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,70899.0,61785.769789
2018,70899.0,61785.769789
2019,69331.0,60217.769789
2020,69331.0,60217.769789
2021,69331.0,60217.769789
2022,67764.0,58650.769789
2023,67764.0,58650.769789
2024,67764.0,58650.769789
2025,66196.0,57082.769789
2026,66196.0,57082.769789
2027,66196.0,57082.769789
2028,64628.0,55514.769789
2029,64628.0,55514.769789
2030,64628.0,55514.769789
2031,63060.0,53946.769789
2032,63060.0,53946.769789
2033,63060.0,53946.769789
2034,63060.0,53946.769789
2035,61492.0,52378.769789
2036,61492.0,52378.769789
