year,Base case cost,Modeled residential energy efficiency
2017,239081.449849,223753.483635
2018,253078.770128,235081.041712
2019,262043.200614,240465.683608
2020,270901.126191,247425.423037
2021,277298.516885,252351.88528
2022,270372.921502,244298.794895
2023,273673.27086,246647.655276
2024,276174.224954,248372.920411
2025,267574.612202,238838.784598
2026,271181.412066,241435.639073
2027,274337.361947,243673.24585
2028,264412.740705,233005.30467
2029,267720.851706,235326.894742
2030,269575.39854,236536.798636
2031,260696.711037,226602.697553
2032,263973.454953,228914.73627
2033,267659.791859,231559.693475
2034,271346.128765,234211.421904
2035,260127.689516,222299.419648
2036,263752.130034,224902.321755
