year,Base case cost,Modeled biomass for heat (pellet)
2017,204370.650877,220535.001666
2018,223513.380877,236688.774855
2019,244915.946146,254006.299508
2020,257395.526146,264412.2115
2021,266408.556146,271859.111664
2022,266486.023976,270777.594394
2023,271229.503976,274568.59853
2024,274617.703976,277210.690851
2025,272897.009245,274549.136752
2026,278192.689245,278809.316711
2027,282826.409245,282513.255696
2028,279358.434514,278321.336226
2029,284528.674514,282472.11482
2030,287113.794514,284443.853135
2031,285823.259783,282043.68717
2032,290868.059783,286083.962909
2033,296543.459783,290659.340616
2034,302218.859783,295239.354553
2035,297778.725051,290109.343457
2036,303313.005051,294557.186417
