year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,70899.0,60874.4467679
2018,70899.0,60874.4467679
2019,69331.0,59306.4467679
2020,69331.0,59306.4467679
2021,69331.0,59306.4467679
2022,67764.0,57739.4467679
2023,67764.0,57739.4467679
2024,67764.0,57739.4467679
2025,66196.0,56171.4467679
2026,66196.0,56171.4467679
2027,66196.0,56171.4467679
2028,64628.0,54603.4467679
2029,64628.0,54603.4467679
2030,64628.0,54603.4467679
2031,63060.0,53035.4467679
2032,63060.0,53035.4467679
2033,63060.0,53035.4467679
2034,63060.0,53035.4467679
2035,61492.0,51467.4467679
2036,61492.0,51467.4467679
