year,Base case cost,Phonograph creek (pelican),Cann creek (lisianski inlet)
2021,2715.63557735,1638083.92657,384142.927999
2022,0.0,1601460.04487,373444.559389
2023,0.0,1568577.93081,365710.797191
2024,0.0,1536704.0423,358221.813263
2025,0.0,1505427.70485,350868.379746
2026,0.0,1474469.71601,343576.409182
2027,0.0,1444599.77513,336552.264222
2028,0.0,1415539.47143,329722.042767
2029,0.0,1386748.64956,322941.842774
2030,0.0,1359129.21761,316453.339778
2031,0.0,1331617.50619,309972.626036
2032,0.0,1304591.89174,303601.36725
2033,0.0,1278300.0351,297406.265852
2034,0.0,1252334.62244,291278.880833
2035,0.0,1227599.29795,285461.294218
2036,0.0,1202901.02608,279634.950928
2037,0.0,1179275.15307,274077.127231
2038,0.0,1155529.26713,268469.414094
2039,0.0,1132699.32401,263089.230493
2040,0.0,1109986.69525,257723.440422
2041,0.0,1089214.29399,252859.866241
2042,0.0,1068928.74589,248110.28208
2043,0.0,1049118.64013,243472.016254
2044,0.0,1029772.83386,238942.459814
2045,0.0,1010880.44495,234519.06486
2046,0.0,992430.846399,230199.343222
2047,0.0,974413.660378,225980.865076
2048,0.0,956818.752003,221861.257477
2049,0.0,939636.224351,217838.203194
2050,0.0,922856.412207,213909.439249
2051,0.0,906469.87693,210072.755715
2052,0.0,890467.401009,206325.994435
2053,0.0,874839.983245,202667.047903
2054,0.0,859578.832983,199093.857906
2055,0.0,844675.365938,195604.414551
2056,0.0,830121.19891,192196.755027
2057,0.0,815908.145128,188868.962513
2058,0.0,802028.209922,185619.165166
2059,0.0,788473.585595,182445.534921
2060,0.0,775236.647731,179346.286623
2061,0.0,762309.950706,176319.676983
2062,0.0,749686.223039,173364.003482
2063,0.0,737358.364022,170477.603587
2064,0.0,725319.439235,167658.853697
2065,0.0,713562.676853,164906.168282
2066,0.0,702081.463318,162217.998869
2067,0.0,690869.340937,159592.833475
2068,0.0,679920.002583,157029.195374
2069,0.0,669227.289458,154525.642567
2070,0.0,658785.18676,152080.76677
