year,Base case diesel consumed,Phonograph creek (pelican),Cann creek (lisianski inlet)
2021,835.580177645,0.0,0.0
2022,0.0,-835.580177645,-835.580177645
2023,0.0,-835.580177645,-835.580177645
2024,0.0,-835.580177645,-835.580177645
2025,0.0,-835.580177645,-835.580177645
2026,0.0,-835.580177645,-835.580177645
2027,0.0,-835.580177645,-835.580177645
2028,0.0,-835.580177645,-835.580177645
2029,0.0,-835.580177645,-835.580177645
2030,0.0,-835.580177645,-835.580177645
2031,0.0,-835.580177645,-835.580177645
2032,0.0,-835.580177645,-835.580177645
2033,0.0,-835.580177645,-835.580177645
2034,0.0,-835.580177645,-835.580177645
2035,0.0,-835.580177645,-835.580177645
2036,0.0,-835.580177645,-835.580177645
2037,0.0,-835.580177645,-835.580177645
2038,0.0,-835.580177645,-835.580177645
2039,0.0,-835.580177645,-835.580177645
2040,0.0,-835.580177645,-835.580177645
2041,0.0,-835.580177645,-835.580177645
2042,0.0,-835.580177645,-835.580177645
2043,0.0,-835.580177645,-835.580177645
2044,0.0,-835.580177645,-835.580177645
2045,0.0,-835.580177645,-835.580177645
2046,0.0,-835.580177645,-835.580177645
2047,0.0,-835.580177645,-835.580177645
2048,0.0,-835.580177645,-835.580177645
2049,0.0,-835.580177645,-835.580177645
2050,0.0,-835.580177645,-835.580177645
2051,0.0,-835.580177645,-835.580177645
2052,0.0,-835.580177645,-835.580177645
2053,0.0,-835.580177645,-835.580177645
2054,0.0,-835.580177645,-835.580177645
2055,0.0,-835.580177645,-835.580177645
2056,0.0,-835.580177645,-835.580177645
2057,0.0,-835.580177645,-835.580177645
2058,0.0,-835.580177645,-835.580177645
2059,0.0,-835.580177645,-835.580177645
2060,0.0,-835.580177645,-835.580177645
2061,0.0,-835.580177645,-835.580177645
2062,0.0,-835.580177645,-835.580177645
2063,0.0,-835.580177645,-835.580177645
2064,0.0,-835.580177645,-835.580177645
2065,0.0,-835.580177645,-835.580177645
2066,0.0,-835.580177645,-835.580177645
2067,0.0,-835.580177645,-835.580177645
2068,0.0,-835.580177645,-835.580177645
2069,0.0,-835.580177645,-835.580177645
2070,0.0,-835.580177645,-835.580177645
