year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,5071.66816968,3296.58431029
2018,5070.65740385,3295.92731251
2019,5069.02218033,3294.86441722
2020,5067.40299,3293.8119435
2021,5065.92062163,3292.84840406
2022,5064.25281888,3291.76433227
2023,5062.63765034,3290.71447272
2024,5060.88061235,3289.57239803
2025,5059.10662345,3288.41930524
2026,5057.24037622,3287.20624455
2027,5055.50387908,3286.0775214
2028,5053.82177062,3284.9841509
2029,5051.0880036,3283.20720234
2030,5048.68950302,3281.64817696
2031,5046.78095947,3280.40762366
