year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,13243.76,149342.12,159446.51,16021.8,133482.7,94405.93
2018,14762.32,166499.19,172659.27,16161.43,134673.92,95248.43
2019,16937.24,191090.98,191597.54,16360.83,136381.34,96456.0
2020,17945.31,202529.02,200406.05,16450.63,137175.49,97017.67
2021,18699.95,211107.55,201189.09,16517.02,137771.1,95002.94
2022,19200.22,216826.57,205469.45,16558.95,138168.18,95276.75
2023,19599.11,221401.79,208893.73,16591.51,138485.83,95495.8
2024,19895.96,224833.2,211461.95,16614.04,138724.08,95660.09
2025,20243.12,228836.51,208250.8,16641.25,139002.03,93394.02
2026,20741.38,234555.54,212407.26,16682.38,139399.11,93660.81
2027,21088.14,238558.85,215316.79,16709.67,139677.06,93847.56
2028,21384.35,241990.26,211318.31,16732.37,139915.3,91533.75
2029,21827.38,247137.38,214947.62,16765.66,140272.67,91767.54
2030,22069.45,249996.89,210298.1,16781.08,140471.21,89413.71
2031,22515.32,255144.01,213815.92,16817.15,140828.57,89641.19
2032,23014.65,260863.03,217724.59,16860.49,141225.65,89893.94
2033,23464.28,266010.15,221242.4,16899.8,141583.02,90121.41
2034,24014.76,272301.07,225541.95,16948.68,142019.8,90399.43
2035,24312.58,275732.49,220663.83,16973.62,142258.04,88035.78
2036,24811.51,281451.51,224448.62,17017.18,142655.12,88281.5
2037,25108.49,284882.92,226719.49,17041.7,142893.36,88428.94
2038,25658.21,291173.84,230882.75,17090.5,143330.14,88699.24
2039,26057.94,295749.06,233910.58,17126.02,143647.8,88895.82
2040,26609.8,302039.98,238073.84,17176.47,144084.58,89166.12
