year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,106305.0,91402.0717621
2018,106304.0,91401.0717621
2019,106302.0,91399.0717621
2020,106300.0,91397.0717621
2021,105060.0,90157.0717621
2022,105058.0,90155.0717621
2023,105057.0,90154.0717621
2024,105055.0,90152.0717621
2025,103814.0,88911.0717621
2026,103812.0,88909.0717621
2027,103811.0,88908.0717621
2028,102570.0,87667.0717621
2029,102567.0,87664.0717621
2030,101326.0,86423.0717621
2031,101324.0,86421.0717621
2032,101323.0,86420.0717621
2033,101322.0,86419.0717621
2034,101321.0,86418.0717621
2035,100081.0,85178.0717621
2036,100080.0,85177.0717621
